PREFIX_EI_DM ,REF GM    ,TAB_CFG     ,TAB_TESTES ,TIPO_AMOSTRA	    ,PN VISTEON   ,Spare    ,DES_MODELO        ,PREFIX_EI ,DISPLAY   ,APLIQUE   ,SERVIÇO  ,SPARE_5  ,SPARE_6
SJK67        ,26462386  ,SJK65.CFG   ,SJK65.TXT  ,TESTE	            ,VPKSJF-ST    ,-----    ,JBUC Mono         ,SJK67     ,MONO      ,FE        ,NAO      ,         ,
SJK68        ,26462387  ,SJK13.CFG   ,SJK13.TXT  ,TESTE	            ,VPKSJF-KT    ,-----    ,JBUC Mono         ,SJK68     ,MONO      ,HE        ,NAO      ,         ,
SJK71        ,26462382  ,SJK52.CFG   ,SJK52.TXT  ,TESTE	            ,VPKSJF-SU    ,-----    ,JBUC Mono         ,SJK71     ,MONO      ,FE        ,NAO      ,         ,
SJK72        ,26462384  ,SJK53.CFG   ,SJK53.TXT  ,TESTE	            ,VPKSJF-KU    ,-----    ,JBUC Mono         ,SJK72     ,MONO      ,HE        ,NAO      ,         ,
---------------------------------------------------------------------JCCC---------------------------------------------------------------------------------------------
SJK63        ,26394304  ,SJK63.CFG   ,SJK63.TXT  ,TESTE	            ,VPPSJF-KR    ,-----    ,JBUC Mono         ,SJK63     ,MONO      ,HE        ,NAO      ,         ,
--------------------------------------------------------SAMPLES-------------------------------------------------------------------------------------------------------
MSY18	     ,26271864  ,SJY18.CFG   ,SJM01.TXT  ,MSAMPLE   	    ,VPKSJF-DG    ,-----    ,JBUA_Mono         ,MSY01     ,MONO      ,DF        ,NAO      ,         ,
NGY18	     ,26298961  ,SJY18.CFG   ,SJM01.TXT  ,NEGATIVA  	    ,VPKSJF-DG    ,-----    ,JBUA_Mono         ,SJN01     ,MONO      ,LB        ,NAO      ,         ,
NGY50	     ,26331054  ,SJK02.CFG   ,SJK02.TXT  ,NEGATIVA  	    ,VPKSJF-ET    ,-----    ,JBUA_Mono         ,SJK02     ,MONO      ,LC        ,NAO      ,         ,
MSY50        ,26331054  ,SJK02.CFG   ,SJK02.TXT  ,TESTE    	    ,VPKSJF-ET    ,-----    ,JBUA_Mono         ,SJK02     ,MONO      ,LC        ,NAO      ,         ,
MSY55        ,26330820  ,SJK12.CFG   ,SJK12.TXT  ,TESTE	            ,VPKSJF-SP    ,-----    ,JBUC Mono         ,SJK12     ,MONO      ,FE        ,NAO      ,         ,
------------------------------------------------------- SERVICE -------------------------------------------------------------------------------------------------------
